DieName,DieLtr,DieNo,Width,Length,CornerRadius
R-1129,R,1129,4.00,1.60,0.00
R-1130,R,1130,3.50,0.31,0.00
R-1132,R,1132,1.00,3.99,0.00
R-1133,R,1133,5.88,3.00,0.00
R-1134,R,1134,3.75,0.25,0.05
R-1135,R,1135,4.06,4.00,0.02
R-1136,R,1136,1.56,7.70,0.00
R-1138,R,1138,3.75,9.63,0.00
R-1139,R,1139,4.00,5.50,0.00
R-1140,R,1140,3.75,13.13,0.00
R-1141,R,1141,2.17,0.93,0.13
R-1143,R,1143,2.38,0.63,0.00
R-1145,R,1145,6.75,5.00,0.13
R-1146,R,1146,3.75,3.00,0.00
R-1147,R,1147,2.13,0.88,0.13
R-1148,R,1148,3.25,8.25,0.00
R-1149,R,1149,3.88,0.75,0.00
R-1151/3,R,1151,3.50,7.00,0.02
R-1152/3,R,1152,4.53,3.15,0.00
R-1153/3,R,1153,3.75,8.25,0.00
R-1158/3,R,1158,5.75,8.90,0.19
R-1159,R,1159,3.94,14.00,0.00
R-1160/3,R,1160,4.53,4.33,0.00
R-1161/3,R,1161,4.53,3.15,0.00
R-1163/3,R,1163,4.00,9.38,0.13
R-1164/3,R,1164,7.13,6.81,0.06
R-1165/3,R,1165,4.75,17.25,0.00
R-1167/3,R,1167,6.38,12.00,0.13
R-1169/3,R,1169,3.00,18.75,0.02
R-1170,R,1170,5.00,17.50,0.13
R-1173,R,1173,4.75,14.25,0.00
R-1175/3,R,1175,4.90,7.38,0.13
R-1176/3,R,1176,4.50,12.25,0.14
R-1178,R,1178,4.81,14.44,0.13
R-1179,R,1179,3.13,5.00,0.13
R-1181/3,R,1181,5.25,6.45,0.13
R-1182/3,R,1182,6.25,7.00,0.13
R-1183/3,R,1183,4.00,4.75,0.13
R-1184/3,R,1184,11.50,9.13,0.13
R-1185/3,R,1185,10.50,12.50,0.13
R-1190,R,1190,5.50,14.50,0.00
R-1801,R,1801,4.00,2.94,0.13
R-1802,R,1802,5.00,2.94,0.13
R-1803,R,1803,5.25,3.38,0.13
R-1804,R,1804,4.75,1.44,0.13
R-1805,R,1805,4.00,2.44,0.13
R-1806,R,1806,1.50,0.38,0.06
R-1807,R,1807,4.88,1.75,0.13
R-1808,R,1808,3.00,1.94,0.13
R-1809,R,1809,4.00,1.25,0.13
R-1813,R,1813,2.75,1.75,0.13
R-1814,R,1814,4.13,0.75,0.13
R-1815,R,1815,6.00,2.88,0.13
R-1816,R,1816,1.75,0.44,0.03
R-1817,R,1817,2.69,1.94,0.13
R-1818,R,1818,3.00,0.75,0.06
R-1819,R,1819,4.00,1.94,0.13
R-1821,R,1821,1.10,0.50,0.06
R-1822,R,1822,4.75,1.25,0.13
R-1823,R,1823,2.75,1.94,0.13
R-1824,R,1824,2.75,2.75,0.13
R-1826,R,1826,2.75,3.38,0.13
R-1828,R,1828,4.00,5.94,0.13
R-1829,R,1829,5.00,1.38,0.00
R-1830,R,1830,2.75,2.75,0.13
R-1830/3,R,1830,2.75,2.75,0.13
R-1831,R,1831,2.00,1.44,0.13
R-1832,R,1832,2.75,1.44,0.06
R-1833,R,1833,6.25,4.31,0.06
R-1835,R,1835,4.00,1.44,0.19
R-1837,R,1837,3.75,0.69,0.13
R-1838,R,1838,4.50,3.44,0.13
R-1839,R,1839,4.50,3.50,0.13
R-1840,R,1840,5.00,6.88,0.13
R-1842,R,1842,3.13,0.38,0.02
R-1843,R,1843,5.50,3.44,0.13
R-1844,R,1844,6.00,3.88,0.25
R-1846,R,1846,3.50,0.75,0.03
R-1848,R,1848,5.00,1.44,0.06
R-1849,R,1849,3.75,1.75,0.13
R-1851,R,1851,2.69,1.88,0.13
R-1852,R,1852,3.50,0.94,0.09
R-1853,R,1853,4.25,1.25,0.13
R-1855,R,1855,1.88,1.88,0.13
R-1856,R,1856,6.25,5.88,0.19
R-1857,R,1857,3.50,6.88,0.13
R-1858,R,1858,3.00,3.88,0.13
R-1859,R,1859,3.06,1.81,0.13
R-1862,R,1862,4.88,3.38,0.13
R-1863,R,1863,2.63,2.38,0.06
R-1864,R,1864,2.76,0.38,0.05
R-1865/3,R,1865,8.50,10.88,0.13
R-1869,R,1869,2.00,0.75,0.06
R-1870,R,1870,3.50,1.88,0.00
R-1871,R,1871,1.50,18.00,0.06
R-1872,R,1872,5.38,5.88,0.00
R-1876,R,1876,5.50,2.38,0.13
R-1877,R,1877,0.44,10.38,0.00
R-1878,R,1878,3.50,1.44,0.13
R-1879,R,1879,4.50,5.63,0.13
R-1880/0,R,1880,6.63,4.38,0.13
R-1881,R,1881,4.25,5.88,0.13
R-1882,R,1882,4.25,2.94,0.13
R-1883,R,1883,5.88,5.88,0.00
R-1884,R,1884,4.50,6.75,0.02
R-1885,R,1885,5.25,2.75,0.00
R-1886/0,R,1886,4.50,2.63,0.13
R-1887,R,1887,3.75,10.38,0.06
R-1888,R,1888,4.13,10.75,0.06
R-1889,R,1889,2.75,15.31,0.13
R-1890,R,1890,3.50,3.38,0.13
R-1891,R,1891,6.75,1.88,0.00
R-1892,R,1892,5.50,18.00,0.13
R-1893/3,R,1893,7.00,10.38,0.13
R-1894,R,1894,6.25,16.38,0.06
R-1895/3,R,1895,8.50,16.38,0.13
R-1896,R,1896,1.63,7.38,0.00
R-1897/3,R,1897,8.75,7.75,0.13
R-1898/3,R,1898,12.50,16.38,0.00
R-1899,R,1899,4.25,7.38,0.13
R-18100,R,18100,6.40,8.38,0.13
R-18101,R,18101,5.25,8.38,0.13
R-18102/3,R,18102,11.00,15.00,0.25
R-18103,R,18103,6.63,13.88,0.13
R-18104,R,18104,5.38,1.38,0.13
R-18105,R,18105,3.63,13.50,0.13
R-18106/3,R,18106,3.88,2.88,0.13
R-18107,R,18107,2.50,0.88,0.13
R-18108,R,18108,4.50,13.50,0.13
R-18109/3,R,18109,8.00,10.50,0.13
R-18110,R,18110,5.00,8.38,0.13
R-18111/3,R,18111,11.00,10.50,0.13
R-18112,R,18112,5.38,3.88,0.00
R-18113,R,18113,2.00,2.88,0.13
R-18114,R,18114,1.50,7.75,0.13
R-18117,R,18117,6.75,20.00,0.13
R-18118/3,R,18118,4.53,4.33,0.00
R-18119,R,18119,3.00,1.69,0.06
R-18120/3,R,18120,4.00,10.31,0.25
R-18121,R,18121,3.75,15.25,0.00
R-18124/3,R,18124,5.30,6.75,0.19
R-18126/3,R,18126,3.68,13.72,0.00
R-18127,R,18127,3.88,3.88,0.06
R-18128/3,R,18128,4.00,10.50,0.13
R-18129,R,18129,2.50,13.38,0.25
R-18131,R,18131,3.00,20.00,0.13
